annotation.is_fraud,annotation.fraud_type,annotation.fraud_labels.transaction_upi_fraud,annotation.fraud_labels.transaction_card_fraud,annotation.fraud_labels.transaction_bank_transfer,annotation.fraud_labels.commerce_nondelivery,annotation.fraud_labels.commerce_fake_seller,annotation.fraud_labels.credential_phishing,annotation.fraud_labels.social_authority_scam,annotation.fraud_labels.social_urgency_scam,annotation.fraud_labels.meta_victim_story,annotation.fraud_labels.meta_fraud_question,annotation.key_features.payment_method,annotation.key_features.fraud_channel,annotation.key_features.victim_action,annotation.key_features.request_type,annotation.key_features.impersonated_entity,annotation.key_features.amount_mentioned,annotation.key_features.currency,annotation.key_features.urgency_level,annotation.psychological_tactics.urgency,annotation.psychological_tactics.fear,annotation.psychological_tactics.authority,annotation.psychological_tactics.reward,annotation.key_features.amount_normalized,annotation.key_features.has_amount
1,commerce,0,0,0,1,1,0,0,0,0,0,crypto,website,deposit,commission,e_commerce_brands,unknown,unknown,0.9,1.0,1.0,1.0,0.0,,0
1,transaction,1,0,0,0,0,0,0,0,0,0,upi,sms,sent_money,payment,unknown,unknown,unknown,0.0,1.0,0.5,0.0,0.0,,0
1,transaction,0,0,1,0,0,0,0,0,0,0,bank,email,sent_money,payment,individual,$600,USD,0.5,1.0,0.0,0.0,0.0,600.0,1
1,transaction,0,0,1,0,0,0,0,0,1,0,bank,none,sent_money,payment,none,200,unknown,1.0,1.0,1.0,0.0,0.0,200.0,1
1,transaction,0,0,0,0,0,0,0,0,1,0,crypto,website,deposited_money,transaction,crypto_casino,2500,unknown,1.0,1.0,1.0,0.0,0.0,2500.0,1
1,transaction,0,1,0,0,0,0,0,0,0,0,unknown,website,sent_money,payment,none,"$2,500",USD,0.0,1.0,0.0,0.0,1.0,2500.0,1
1,transaction,1,0,0,0,0,0,1,1,0,0,upi,sms,sent_money,payment,bank,unknown,unknown,1.0,1.0,1.0,1.0,0.0,,0
1,transaction,0,0,0,0,0,0,0,0,0,0,bank,sms,sent_money,payment,company,unknown,EUR,0.9,1.0,0.0,1.0,0.0,,0
1,transaction,0,0,1,0,0,0,0,0,0,0,bank,phone,sent_money,payment,broker,30000,INR,0.5,1.0,0.0,1.0,0.0,30000.0,1
1,credential,0,0,0,0,0,1,0,0,0,0,upi,email,clicked_link,phishing,paypal,unknown,unknown,0.9,1.0,1.0,1.0,0.0,,0
1,transaction,0,0,0,0,0,0,0,0,0,0,unknown,sms,none,payment,company,"$5,000.00 USD",USD,1.0,1.0,1.0,1.0,0.0,5000.0,1
0,none,0,0,0,0,0,0,0,0,0,0,unknown,phone,none,none,company,"$240,000 USD",USD,0.0,1.0,1.0,1.0,0.0,240000.0,1
1,transaction,0,0,0,0,0,0,0,0,1,0,crypto,website,clicked_link,transaction,company,unknown,unknown,0.8,1.0,0.0,1.0,0.0,,0
1,transaction,0,0,1,0,0,0,0,0,1,0,bank,website,withdrew_money,payment,none,unknown,unknown,1.0,1.0,1.0,0.0,0.0,,0
1,transaction,1,0,0,0,0,0,0,0,0,0,upi,phone,sent_money,payment,bank,unknown,unknown,0.8,1.0,1.0,1.0,0.0,,0
1,transaction,0,0,1,0,0,0,0,0,0,0,bank,phone,paid_money,payment,government,"$10,000",USD,0.9,1.0,1.0,1.0,0.0,10000.0,1
1,transaction,0,0,1,0,0,0,0,0,1,0,bank,website,sent_money,payment,company,unknown,unknown,0.9,1.0,0.0,0.0,0.0,,0
1,social_engineering,0,0,0,1,0,0,1,1,0,0,none,phone,none,none,fire_dept,unknown,unknown,1.0,1.0,1.0,1.0,0.0,,0
1,pig_butchering,0,0,0,0,0,0,0,0,0,0,crypto,whatsapp,sent_money,investment,individual,unknown,unknown,0.9,1.0,1.0,0.0,0.0,,0
1,crypto,0,0,0,0,0,0,0,0,1,0,crypto,website,clicked_link,transaction,none,unknown,unknown,0.9,1.0,1.0,0.0,0.0,,0
1,transaction,0,0,0,0,0,0,0,0,0,0,crypto,social_media,sent_money,payment,unknown,0.5,unknown,0.8,1.0,0.0,0.0,0.0,0.5,1
1,transaction,1,0,0,1,0,0,0,0,0,0,unknown,sms,clicked_link,none,ups,unknown,unknown,0.8,1.0,1.0,1.0,0.0,,0
1,transaction,1,0,0,0,0,0,1,1,0,0,upi,sms,sent_money,payment,bank,unknown,unknown,1.0,1.0,1.0,1.0,0.0,,0
1,transaction,0,0,1,0,0,0,0,0,0,0,bank,email,sent_money,payment,company,unknown,unknown,0.8,1.0,1.0,1.0,0.0,,0
1,commerce,0,0,0,1,1,0,0,0,0,0,bank,email,shared_credentials,payment,seller,16000,USD,0.5,1.0,1.0,0.0,0.0,16000.0,1
1,social_engineering,0,0,0,0,0,0,1,1,0,0,unknown,social_media,none,none,individual,unknown,unknown,0.8,1.0,1.0,1.0,0.0,,0
1,transaction,0,0,1,0,0,0,0,0,0,0,bank,email,sent_money,payment,seller,200000,USD,0.8,1.0,1.0,0.0,0.0,200000.0,1
1,identity_theft,0,1,0,0,0,0,0,0,1,0,card,phone,shared_credentials,transaction,bank,unknown,unknown,0.8,1.0,1.0,1.0,0.0,,0
1,transaction,0,0,0,0,0,0,1,1,0,0,crypto,website,invested,transaction,none,$500,USD,1.0,1.0,1.0,1.0,0.0,500.0,1
1,transaction,0,1,0,0,0,0,0,0,0,0,card,website,clicked_link,none,company,unknown,unknown,0.8,1.0,1.0,1.0,0.0,,0
1,transaction,0,0,1,0,0,0,0,0,0,0,bank,email,none,transaction,company,unknown,unknown,0.8,1.0,0.0,1.0,0.0,,0
1,transaction,0,0,1,0,0,0,0,0,1,0,bank,website,paid,payment,company,10000,unknown,0.8,1.0,1.0,1.0,0.0,10000.0,1
1,commerce,0,0,0,1,0,0,0,0,0,0,bank,website,sent_money,commerce,ebay,$235,USD,0.8,1.0,0.0,1.0,0.0,235.0,1
1,transaction,0,0,0,0,0,0,1,1,0,0,unknown,social_media,none,none,individual,unknown,unknown,0.95,1.0,1.0,1.0,0.0,,0
1,transaction,0,0,1,0,0,0,0,0,1,0,bank,website,clicked_link,transaction,none,unknown,unknown,0.9,1.0,1.0,0.0,0.0,,0
1,social_engineering,0,0,0,0,0,0,1,1,0,0,unknown,social_media,none,none,discord_staff,unknown,unknown,1.0,1.0,1.0,1.0,0.0,,0
1,social_engineering,0,0,0,0,0,0,0,0,1,0,unknown,social_media,clicked_link,none,individual,unknown,unknown,0.8,1.0,1.0,0.0,0.0,,0
1,transaction,0,0,1,0,0,0,0,0,1,0,bank,email,sent_money,payment,company,unknown,unknown,0.8,1.0,1.0,1.0,0.0,,0
1,social_engineering,0,0,0,0,0,1,0,0,0,0,unknown,social_media,none,verification,discord,unknown,unknown,0.5,1.0,0.0,1.0,0.0,,0
1,commerce,0,0,0,1,1,0,0,0,0,0,unknown,none,sent_money,payment,none,$200,USD,0.5,1.0,0.0,0.0,0.0,200.0,1
1,social_engineering,0,0,0,0,0,0,0,1,0,0,unknown,social_media,none,none,individual,unknown,unknown,1.0,1.0,0.0,0.0,0.0,,0
1,transaction,0,0,1,0,0,0,0,0,1,0,bank,email,sent_money,payment,individual,unknown,unknown,0.9,1.0,1.0,0.0,0.0,,0
1,transaction,0,0,1,0,0,0,0,0,0,0,bank,website,clicked_link,payment,company,unknown,unknown,0.8,1.0,0.0,1.0,0.0,,0
1,commerce,0,0,1,0,1,0,0,0,0,0,bank,social_media,sent_money,payment,individual,unknown,unknown,0.8,1.0,0.0,0.0,0.0,,0
1,transaction,0,0,1,0,0,0,0,0,0,0,bank,sms,sent_money,transaction,none,unknown,unknown,0.8,1.0,1.0,0.0,0.0,,0
1,transaction,1,0,0,0,0,0,0,1,0,0,upi,sms,sent_money,payment,unknown,unknown,unknown,1.0,1.0,1.0,0.0,0.0,,0
1,transaction,0,0,1,0,0,0,0,0,1,0,bank,email,clicked_link,transaction,company,500000,unknown,1.0,1.0,1.0,0.0,0.0,500000.0,1
1,commerce,0,1,0,0,0,0,0,0,0,0,card,email,none,payment,amazon,$550,USD,0.8,1.0,1.0,1.0,0.0,550.0,1
1,transaction,1,0,0,0,0,0,0,0,0,0,upi,app,installed_app,payment,bank,499,unknown,0.8,1.0,0.0,1.0,0.0,499.0,1
1,transaction,0,0,1,0,0,0,0,0,0,0,bank,website,installed_app,transaction,company,unknown,unknown,0.9,1.0,0.0,1.0,0.0,,0
1,transaction,1,0,0,0,0,0,0,1,1,0,upi,phone,sent_money,payment,unknown,23400,INR,1.0,1.0,1.0,0.0,0.0,23400.0,1
1,social_engineering,0,0,0,0,0,0,1,1,0,0,unknown,email,none,none,bank,unknown,unknown,1.0,1.0,1.0,1.0,0.0,,0
1,transaction,0,0,1,0,0,0,0,0,0,0,bank,website,sent_money,payment,company,200,unknown,1.0,1.0,0.0,0.0,0.0,200.0,1
1,transaction,0,0,1,0,0,0,1,1,0,0,bank,phone,sent_money,payment,company,$500,USD,1.0,1.0,1.0,1.0,0.0,500.0,1
1,transaction,0,0,1,0,0,0,0,0,1,0,bank,none,sent_money,payment,company,40000,INR,1.0,1.0,1.0,0.0,0.0,40000.0,1
1,transaction,0,0,0,0,0,0,0,0,0,0,bank,email,sent_money,payment,company,unknown,unknown,0.5,1.0,0.0,1.0,0.0,,0
1,transaction,0,0,1,0,0,0,0,0,0,0,bank,website,sent_money,verification,none,360,unknown,1.0,1.0,0.0,0.0,0.0,360.0,1
1,commerce,0,1,0,0,0,0,0,0,0,0,card,website,clicked_link,transaction,company,unknown,unknown,0.5,1.0,1.0,0.0,0.0,,0
1,transaction,0,1,1,0,0,0,0,0,0,0,bank,email,shared_credentials,payment,individual,400,USD,0.5,1.0,0.0,0.0,0.0,400.0,1
1,transaction,0,1,0,0,0,0,0,0,0,0,card,unknown,swiped/tapped/inserted_a_card,payment,none,$25,USD,0.8,1.0,0.0,0.0,0.0,25.0,1
1,transaction,1,0,0,0,0,0,0,0,0,0,upi,unknown,sent_money,payment,none,15000,INR,0.8,1.0,1.0,0.0,0.0,15000.0,1
1,transaction,0,0,0,0,0,0,0,0,0,0,card,phone,shared_credentials,verification,bank,unknown,unknown,0.8,1.0,0.0,1.0,0.0,,0
1,transaction,0,0,0,0,0,0,0,0,0,0,unknown,none,sent_money,payment,none,unknown,unknown,0.0,0.0,0.0,0.0,0.0,,0
1,transaction,0,1,0,0,0,0,0,0,0,0,unknown,sms,sent_money,payment,none,9000,unknown,1.0,1.0,1.0,0.0,0.0,9000.0,1
1,transaction,0,0,1,0,0,0,0,0,1,0,bank,website,sent_money,payment,company,1000000,USD,0.8,1.0,1.0,1.0,0.0,1000000.0,1
1,commerce,0,0,1,1,1,0,0,0,0,0,bank,social_media,sent_money,payment,company,200,unknown,0.8,1.0,1.0,1.0,0.0,200.0,1
1,transaction,1,0,0,0,0,0,0,0,0,0,upi,sms,sent_money,payment,bank,25000,INR,1.0,1.0,0.0,1.0,0.0,25000.0,1
1,social_engineering,0,0,0,0,0,1,1,1,0,0,unknown,email,sent_money,payment,tumblr_support_person,unknown,unknown,1.0,1.0,1.0,1.0,0.0,,0
1,transaction,0,0,1,0,0,0,0,1,0,0,bank,social_media,sent_money,payment,none,18,unknown,0.9,1.0,0.0,0.0,0.0,18.0,1
1,transaction,0,0,1,0,0,0,0,0,1,0,bank,wechat,sent_money,payment,none,unknown,unknown,0.9,1.0,1.0,0.0,0.0,,0
1,transaction,0,0,0,0,0,0,0,0,1,0,crypto,website,swapping,transaction,unknown,unknown,unknown,0.8,1.0,1.0,0.0,0.0,,0
1,transaction,0,1,0,0,0,0,0,0,0,0,crypto,social_media,clicked_link,payment,company,unknown,unknown,0.8,1.0,1.0,1.0,0.0,,0
1,transaction,0,0,0,0,0,0,0,0,0,0,unknown,door_to_door,signed_contract,authorization,gas_company,unknown,unknown,0.5,1.0,1.0,1.0,0.0,,0
0,none,0,0,0,0,0,0,1,1,0,0,unknown,sms | email | phone | social_media | website | app | unknown | none,none | unknown,none | unknown,bank_|_government_|_company_|_individual_|_none_|_unknown,unknown,unknown,1.0,1.0,1.0,1.0,0.0,,0
1,commerce,0,1,0,0,0,0,0,0,0,0,bank,phone,none,cancellation,company,unknown,unknown,0.5,1.0,0.0,1.0,0.0,,0
1,commerce,0,0,0,1,1,0,0,0,0,0,upi,website,sent_money,payment,e_commerce_platform,unknown,unknown,0.9,1.0,1.0,1.0,0.0,,0
1,commerce,0,0,0,1,0,0,0,0,0,0,bank,website,clicked_link,nondelivery,company,unknown,unknown,0.8,1.0,0.0,1.0,0.0,,0
1,transaction,1,0,0,0,0,0,0,0,0,0,upi,sms,sent_money,payment,bank,unknown,unknown,0.5,1.0,0.0,1.0,0.0,,0
1,transaction,0,0,0,0,0,1,0,0,0,0,upi,sms,clicked_link,verification,nj_india_invest_pvt_ltd,unknown,unknown,0.9,1.0,0.0,1.0,0.0,,0
1,transaction,0,1,0,0,0,0,0,0,0,0,card,email,locked_card,payment,none,unknown,unknown,0.8,1.0,1.0,0.0,0.0,,0
1,social_engineering,0,0,0,0,0,1,0,0,0,0,unknown,email,shared_credentials,none,tumblr,unknown,unknown,0.8,1.0,1.0,0.0,0.0,,0
1,commerce,0,0,1,1,0,0,0,0,0,0,bank,website,sent_money,commerce,company,unknown,unknown,0.9,1.0,1.0,0.0,0.0,,0
1,transaction,0,0,0,0,0,0,0,0,0,0,crypto,website,clicked_link,transaction,unknown,unknown,unknown,0.9,1.0,0.0,0.0,0.0,,0
1,transaction,1,0,0,0,0,0,0,0,0,0,upi,email,sent_money,payment,bank,unknown,unknown,0.8,1.0,0.0,1.0,0.0,,0
1,social_engineering,0,0,0,0,0,0,1,1,0,0,unknown,social_media,none,none,individual,unknown,unknown,1.0,1.0,0.0,1.0,0.0,,0
1,transaction,0,0,0,0,0,1,0,0,0,0,unknown,email,changed_password,verification,none,unknown,unknown,0.5,1.0,1.0,0.0,0.0,,0
1,social_engineering,0,0,0,0,0,1,1,1,0,0,upi,email,sent_money,payment,bank,unknown,unknown,1.0,1.0,1.0,1.0,0.0,,0
1,social_engineering,0,0,0,0,0,1,0,0,0,0,unknown,email,clicked_link,credential,company,unknown,unknown,0.8,1.0,0.0,1.0,0.0,,0
1,advanced,0,0,0,0,0,0,0,0,1,0,crypto,social_media,clicked_link,withdrawal,unknown,7000000,GBP,1.0,1.0,0.0,0.0,0.0,7000000.0,1
1,commerce,0,0,0,1,0,0,0,0,0,0,upi,phone,sent_money,payment,company,unknown,unknown,0.8,1.0,0.0,1.0,0.0,,0
